Timestamp,Location,Vehicle_Count,Average_Speed (km/h),Congestion_Level (%),Accident_Reported,Traffic_Camera_Status,PM2.5 (µg/m³),CO2_Level (ppm),Humidity (%),Temperature (°C),Bus_Location,Bus_Occupancy,Bus_Delay (min),Crime_Incidents,Emergency_Response_Time (min),Power_Consumption (kWh),Renewable_Energy_Usage (%),Social_Media_Mentions,Emergency_Alerts,Water_Supply_Status,Electricity_Status,Waste_Collection_Status
2025-03-05 08:50:00,"40.542056, -73.926616",24,34.58,56.77,No,Active,29.15,388.59,42.27,36.03,"40.84258, -73.797451",89,9.66,2,8.09,4019.29,70.07,3,Public Safety Issue,Normal,Voltage Fluctuation,Missed Pickup
2025-03-05 08:55:00,"40.680247, -73.702492",220,60.01,24.99,No,Inactive,127.42,517.25,46.1,25.12,"40.632959, -73.846159",59,3.35,2,8.66,4728.39,18.66,11,Severe Weather,Normal,Voltage Fluctuation,On Schedule
2025-03-05 09:00:00,"40.545538, -73.985899",233,35.13,56.09,No,Active,146.77,500.39,88.29,28.33,"40.799942, -73.942392",66,2.38,4,12.83,1089.19,14.72,7,None,Low Pressure,Stable,Delayed
2025-03-05 09:05:00,"40.739275, -73.897321",176,77.28,3.4,No,Inactive,30.3,350.49,51.61,11.01,"40.70016, -73.876056",19,9.85,5,3.88,4815.66,45.51,13,None,Disruption,Stable,On Schedule
2025-03-05 09:10:00,"40.89672, -73.978259",127,17.51,78.11,No,Inactive,149.93,406.07,56.39,34.5,"40.620342, -73.724794",53,13.97,3,14.0,788.65,77.69,8,Public Safety Issue,Disruption,Stable,Delayed
2025-03-05 09:15:00,"40.898544, -73.934781",151,18.69,76.64,No,Active,39.87,382.77,80.99,-3.01,"40.744324, -73.810145",55,0.92,1,10.77,839.27,77.43,7,Severe Weather,Disruption,Voltage Fluctuation,On Schedule
2025-03-05 09:20:00,"40.617696, -73.950611",77,34.85,56.44,No,Active,90.45,302.51,85.83,22.59,"40.632163, -73.957461",12,9.78,4,10.96,2237.36,70.68,11,Traffic Accident,Disruption,Outage,Delayed
2025-03-05 09:25:00,"40.877519, -73.708296",119,29.22,63.48,No,Inactive,127.54,427.27,39.27,-0.43,"40.548298, -73.816056",13,11.93,5,9.73,923.9,77.79,0,Traffic Accident,Disruption,Outage,Missed Pickup
2025-03-05 09:30:00,"40.550821, -73.766701",298,25.91,67.61,No,Inactive,24.33,501.86,38.12,22.07,"40.779131, -73.878182",19,0.35,3,8.92,3630.84,11.42,5,Public Safety Issue,Disruption,Stable,Missed Pickup
2025-03-05 09:35:00,"40.590007, -73.947322",17,59.81,25.24,No,Active,33.05,455.78,87.03,22.35,"40.678344, -73.990874",87,5.12,4,5.97,3269.45,13.19,19,None,Low Pressure,Stable,Delayed
2025-03-05 09:40:00,"40.809659, -73.820843",96,27.32,65.85,No,Inactive,55.47,404.07,56.48,5.66,"40.898433, -73.832734",61,9.0,3,11.54,2137.46,71.64,6,None,Low Pressure,Voltage Fluctuation,On Schedule
2025-03-05 09:45:00,"40.545516, -73.859597",92,70.68,11.65,No,Inactive,116.03,313.44,34.12,2.28,"40.804661, -73.787048",34,2.66,4,11.63,2275.99,71.91,17,Public Safety Issue,Normal,Voltage Fluctuation,On Schedule
2025-03-05 09:50:00,"40.726713, -73.780502",88,58.53,26.84,No,Active,118.15,515.27,39.83,30.64,"40.586681, -73.888876",17,6.24,5,3.21,1182.94,59.59,13,Severe Weather,Disruption,Stable,On Schedule
2025-03-05 09:55:00,"40.569204, -73.715896",35,47.8,40.25,No,Inactive,59.83,304.45,47.52,23.85,"40.605112, -73.984367",80,0.38,1,4.0,4835.61,29.32,20,Public Safety Issue,Normal,Voltage Fluctuation,Missed Pickup
2025-03-05 10:00:00,"40.567335, -73.809509",218,29.1,63.62,No,Active,31.82,541.46,44.07,25.97,"40.602508, -73.885649",97,5.47,3,14.62,1866.23,15.51,18,Severe Weather,Low Pressure,Outage,On Schedule
2025-03-05 10:05:00,"40.507435, -73.923726",99,65.52,18.1,No,Inactive,39.03,341.95,39.83,31.18,"40.656532, -73.935998",55,3.49,2,10.55,2578.62,26.86,20,Traffic Accident,Low Pressure,Voltage Fluctuation,On Schedule
2025-03-05 10:10:00,"40.506911, -73.946554",266,13.98,82.53,No,Inactive,33.02,374.47,88.31,30.76,"40.635988, -73.865462",89,13.01,2,12.34,2415.76,60.16,17,Public Safety Issue,Disruption,Voltage Fluctuation,Delayed
2025-03-05 10:15:00,"40.550694, -73.758126",238,69.41,13.24,No,Active,22.92,345.59,62.07,23.38,"40.700677, -73.740515",66,8.63,2,14.8,2828.25,73.94,17,Public Safety Issue,Normal,Outage,On Schedule
2025-03-05 10:20:00,"40.512491, -73.994608",159,12.85,83.94,No,Inactive,108.03,402.95,63.77,1.49,"40.833406, -73.985072",62,8.44,3,3.37,1079.73,12.69,16,Severe Weather,Disruption,Stable,On Schedule
2025-03-05 10:25:00,"40.501504, -73.809626",41,65.73,17.84,No,Inactive,147.34,496.24,77.89,9.86,"40.533039, -73.86857",89,12.0,0,14.83,2029.03,53.74,20,None,Disruption,Voltage Fluctuation,On Schedule
2025-03-05 10:30:00,"40.888145, -73.799703",198,27.44,65.7,No,Inactive,85.09,355.21,77.06,-4.69,"40.865926, -73.716943",65,9.57,3,9.03,2734.35,51.5,5,Severe Weather,Low Pressure,Outage,Delayed
2025-03-05 10:35:00,"40.872546, -73.705366",297,31.73,60.34,No,Active,13.84,476.3,71.4,26.65,"40.574783, -73.988588",72,11.38,4,4.5,2917.03,40.59,4,Public Safety Issue,Disruption,Outage,Missed Pickup
2025-03-05 10:40:00,"40.771299, -73.940494",163,70.11,12.36,No,Inactive,51.29,559.23,84.58,2.28,"40.889946, -73.904583",24,13.25,5,4.87,3160.91,71.19,16,None,Disruption,Voltage Fluctuation,On Schedule
2025-03-05 10:45:00,"40.706246, -73.880962",90,18.96,76.3,No,Inactive,138.43,364.49,76.73,6.94,"40.788535, -73.861123",63,12.9,4,4.95,1483.51,75.98,6,Traffic Accident,Low Pressure,Outage,Delayed
2025-03-05 10:50:00,"40.533145, -73.961568",28,38.63,51.71,No,Inactive,99.95,405.59,81.32,23.39,"40.854621, -73.707797",29,5.96,2,8.06,2929.39,66.55,16,None,Low Pressure,Outage,On Schedule
2025-03-05 10:55:00,"40.884967, -73.943616",252,77.07,3.66,No,Inactive,91.86,376.25,57.36,21.12,"40.671338, -73.848486",28,12.02,4,9.13,3893.67,73.28,15,None,Low Pressure,Voltage Fluctuation,On Schedule
2025-03-05 11:00:00,"40.82561, -73.711436",175,61.38,23.28,No,Inactive,119.04,432.86,57.21,2.86,"40.652269, -73.965131",11,14.87,4,12.44,1834.35,47.35,11,None,Low Pressure,Voltage Fluctuation,On Schedule
2025-03-05 11:05:00,"40.818032, -73.83911",20,39.01,51.24,No,Active,98.25,330.54,50.89,25.98,"40.580798, -73.959115",41,3.87,4,6.97,611.61,43.02,19,Severe Weather,Low Pressure,Outage,Delayed
2025-03-05 11:10:00,"40.846665, -73.869699",93,63.95,20.06,No,Inactive,80.41,400.23,45.38,23.3,"40.682515, -73.974136",95,1.56,3,5.55,4194.23,47.06,7,Traffic Accident,Normal,Voltage Fluctuation,Missed Pickup
2025-03-05 11:15:00,"40.763915, -73.711441",143,48.74,39.07,No,Inactive,38.7,307.87,52.06,27.56,"40.546143, -73.962165",36,9.19,5,9.8,2368.52,56.53,6,Severe Weather,Normal,Voltage Fluctuation,Delayed
2025-03-05 11:20:00,"40.708244, -73.735616",236,41.62,47.98,No,Active,48.86,429.35,72.44,34.84,"40.790788, -73.887242",99,11.9,0,13.88,1880.78,59.85,6,Public Safety Issue,Disruption,Outage,On Schedule
2025-03-05 11:25:00,"40.506159, -73.778762",147,44.37,44.54,No,Inactive,47.55,352.86,41.15,35.71,"40.671397, -73.821325",77,5.75,4,3.32,2695.61,17.34,1,Severe Weather,Normal,Voltage Fluctuation,Missed Pickup
2025-03-05 11:30:00,"40.810658, -73.724787",133,25.29,68.39,No,Inactive,150.0,531.5,46.04,-2.89,"40.756287, -73.761299",35,1.06,5,14.27,3779.33,40.36,10,Public Safety Issue,Disruption,Stable,Delayed
2025-03-05 11:35:00,"40.621427, -73.880353",120,34.39,57.01,No,Active,104.95,546.33,77.54,36.89,"40.510283, -73.922384",41,0.14,0,12.61,4066.02,13.07,10,Traffic Accident,Low Pressure,Stable,Missed Pickup
2025-03-05 11:40:00,"40.782708, -73.889833",287,74.99,6.26,No,Active,88.7,583.58,77.09,31.23,"40.780893, -73.783662",98,7.29,4,14.43,3550.07,30.81,14,None,Disruption,Outage,Delayed
2025-03-05 11:45:00,"40.518745, -73.918301",32,65.72,17.85,No,Active,59.53,344.43,74.33,5.25,"40.810034, -73.949826",57,10.1,1,8.35,4032.2,39.02,17,Traffic Accident,Normal,Voltage Fluctuation,Delayed
2025-03-05 11:50:00,"40.890822, -73.859619",166,77.66,2.92,No,Inactive,94.27,402.4,86.97,30.29,"40.799989, -73.814418",29,10.27,4,4.97,4090.91,52.68,8,Traffic Accident,Disruption,Outage,Missed Pickup
2025-03-05 11:55:00,"40.595712, -73.992547",189,61.35,23.31,No,Inactive,58.57,479.13,60.22,10.08,"40.843179, -73.8082",98,11.06,5,11.34,4877.01,65.61,16,Traffic Accident,Low Pressure,Stable,Delayed
2025-03-05 12:00:00,"40.56705, -73.932126",251,77.63,2.96,No,Inactive,131.32,577.71,58.44,39.23,"40.808282, -73.891651",41,4.43,0,14.26,764.82,50.63,19,Traffic Accident,Normal,Stable,Missed Pickup
2025-03-05 12:05:00,"40.678752, -73.800712",280,50.54,36.82,No,Active,29.63,471.33,46.2,3.94,"40.740214, -73.795819",99,14.24,5,14.02,2489.63,49.78,4,Severe Weather,Low Pressure,Stable,On Schedule
2025-03-05 12:10:00,"40.77274, -73.771058",265,73.58,8.03,Yes,Active,103.92,366.69,70.87,21.79,"40.712694, -73.873244",56,13.18,5,5.28,4967.74,55.66,3,None,Low Pressure,Outage,Delayed
2025-03-05 12:15:00,"40.736675, -73.860996",290,30.3,62.12,No,Inactive,47.88,497.91,86.66,19.81,"40.811865, -73.894795",13,8.9,2,7.81,1155.4,74.21,19,None,Low Pressure,Outage,Missed Pickup
2025-03-05 12:20:00,"40.644172, -73.791087",170,20.71,74.11,Yes,Active,144.41,341.8,80.91,13.28,"40.614921, -73.786939",53,2.43,4,14.97,3674.99,72.69,9,Traffic Accident,Low Pressure,Voltage Fluctuation,On Schedule
2025-03-05 12:25:00,"40.719423, -73.706206",273,40.23,49.71,No,Active,109.73,322.01,82.85,36.33,"40.82341, -73.8152",93,8.75,5,9.07,4759.91,12.67,14,None,Disruption,Voltage Fluctuation,Missed Pickup
2025-03-05 12:30:00,"40.661574, -73.856835",153,45.95,42.56,No,Inactive,134.71,341.97,73.86,-4.47,"40.566523, -73.732437",39,10.25,4,12.38,2015.26,54.1,9,Severe Weather,Low Pressure,Outage,Delayed
2025-03-05 12:35:00,"40.543337, -73.961433",155,57.58,28.02,No,Inactive,71.93,562.81,77.94,-2.43,"40.757885, -73.971697",18,2.0,4,11.43,4059.69,45.84,11,None,Normal,Stable,Missed Pickup
2025-03-05 12:40:00,"40.783285, -73.705616",93,71.47,10.66,Yes,Inactive,53.07,480.02,82.36,22.11,"40.891185, -73.708498",92,11.22,1,14.17,1584.36,41.2,18,None,Normal,Stable,Delayed
2025-03-05 12:45:00,"40.821815, -73.804581",128,48.64,39.2,No,Active,9.72,412.22,37.51,4.81,"40.67166, -73.92769",75,7.79,1,11.64,3037.04,60.47,6,None,Normal,Outage,Missed Pickup
2025-03-05 12:50:00,"40.514043, -73.985268",130,39.11,51.11,No,Inactive,24.16,527.35,84.63,0.35,"40.867319, -73.736275",17,4.06,3,6.61,3190.0,25.91,2,Traffic Accident,Low Pressure,Voltage Fluctuation,Missed Pickup
2025-03-05 12:55:00,"40.698146, -73.827311",278,24.44,69.45,No,Active,128.71,528.54,51.94,31.07,"40.540996, -73.788807",96,12.19,5,4.05,4162.37,48.82,13,Severe Weather,Normal,Outage,Missed Pickup
2025-03-05 13:00:00,"40.878804, -73.750162",265,60.9,23.88,No,Inactive,71.81,452.33,81.34,-0.14,"40.795729, -73.924165",34,2.93,5,6.62,2503.6,32.75,3,Traffic Accident,Normal,Stable,On Schedule
2025-03-05 13:05:00,"40.799234, -73.774736",288,13.07,83.66,No,Active,94.22,399.87,75.04,-0.44,"40.504502, -73.967154",56,8.79,2,12.19,3380.04,71.71,8,Traffic Accident,Low Pressure,Outage,Missed Pickup
2025-03-05 13:10:00,"40.775635, -73.709111",185,55.24,30.95,No,Active,89.76,425.33,81.93,-4.18,"40.894242, -73.912622",96,0.06,1,6.3,3788.11,55.55,9,Severe Weather,Low Pressure,Voltage Fluctuation,Missed Pickup
2025-03-05 13:15:00,"40.798627, -73.840067",258,64.93,18.84,No,Active,105.44,378.82,79.93,23.07,"40.514292, -73.992513",83,13.52,0,3.38,2244.37,55.39,12,Public Safety Issue,Disruption,Voltage Fluctuation,Missed Pickup
2025-03-05 13:20:00,"40.791899, -73.923034",71,34.31,57.11,No,Inactive,145.51,480.41,39.04,16.39,"40.869799, -73.86907",43,9.16,3,14.87,711.18,32.53,0,None,Normal,Outage,Delayed
2025-03-05 13:25:00,"40.654882, -73.807064",149,64.67,19.16,No,Active,134.47,451.96,54.61,10.9,"40.66404, -73.807894",81,10.14,4,14.68,2148.7,42.8,15,Traffic Accident,Normal,Voltage Fluctuation,Missed Pickup
2025-03-05 13:30:00,"40.510505, -73.988689",109,74.51,6.86,No,Inactive,139.04,547.12,41.2,-2.94,"40.531253, -73.915342",56,1.19,2,14.68,1866.61,53.56,15,Public Safety Issue,Normal,Outage,Delayed
2025-03-05 13:35:00,"40.737836, -73.963734",210,44.5,44.38,No,Active,7.86,479.04,89.32,21.12,"40.790921, -73.812148",22,0.43,2,7.61,1355.94,78.42,12,Traffic Accident,Low Pressure,Voltage Fluctuation,Missed Pickup
2025-03-05 13:40:00,"40.61726, -73.991253",85,67.98,15.02,No,Active,42.02,304.49,62.29,18.73,"40.647924, -73.83431",78,5.76,1,7.75,4375.09,28.18,10,Public Safety Issue,Normal,Voltage Fluctuation,On Schedule
2025-03-05 13:45:00,"40.77718, -73.882009",182,46.64,41.7,No,Inactive,75.07,477.24,78.8,31.48,"40.539548, -73.868216",42,3.32,0,4.04,2870.45,60.07,5,Severe Weather,Normal,Stable,Delayed
2025-03-05 13:50:00,"40.71963, -73.705521",295,73.31,8.36,No,Active,52.19,477.83,79.11,11.54,"40.524228, -73.713739",11,12.06,5,6.81,2362.18,74.05,6,Severe Weather,Low Pressure,Outage,Delayed
2025-03-05 13:55:00,"40.530334, -73.812573",136,43.71,45.36,No,Inactive,133.17,421.74,88.28,34.56,"40.77528, -73.769387",37,10.42,1,6.37,2240.43,51.87,9,None,Normal,Outage,Delayed
2025-03-05 14:00:00,"40.72885, -73.72068",224,36.98,53.78,No,Active,88.44,331.1,60.62,36.13,"40.514996, -73.787108",77,10.68,5,7.91,3449.44,78.83,18,Public Safety Issue,Low Pressure,Stable,Missed Pickup
2025-03-05 14:05:00,"40.589748, -73.779179",238,39.2,51.0,No,Active,28.72,413.07,31.22,36.92,"40.557033, -73.846417",67,5.02,5,8.3,2586.76,68.27,17,None,Normal,Voltage Fluctuation,Delayed
2025-03-05 14:10:00,"40.620303, -73.747438",189,43.57,45.54,No,Inactive,103.72,397.26,50.33,16.82,"40.6396, -73.781985",77,13.31,0,4.1,4957.82,68.29,17,None,Low Pressure,Stable,Missed Pickup
2025-03-05 14:15:00,"40.776651, -73.86915",295,35.73,55.34,No,Active,48.51,537.72,50.49,-1.48,"40.532203, -73.898328",74,13.28,5,9.24,706.46,14.34,20,None,Disruption,Stable,Delayed
2025-03-05 14:20:00,"40.865715, -73.819218",218,44.34,44.57,No,Inactive,6.49,324.76,61.6,19.19,"40.550703, -73.739584",88,14.68,5,5.92,1128.59,50.77,15,Severe Weather,Disruption,Voltage Fluctuation,Missed Pickup
2025-03-05 14:25:00,"40.674929, -73.777383",58,52.18,34.77,No,Active,46.74,331.32,65.13,34.97,"40.798523, -73.98625",52,1.98,2,3.44,1297.08,32.85,12,None,Normal,Voltage Fluctuation,Delayed
2025-03-05 14:30:00,"40.826006, -73.749891",89,26.84,66.45,No,Active,64.52,426.72,50.79,20.3,"40.61796, -73.8036",59,3.21,0,5.76,2203.34,11.23,1,Severe Weather,Normal,Stable,Delayed
2025-03-05 14:35:00,"40.575758, -73.707028",141,45.0,43.75,No,Active,117.81,423.35,58.31,34.1,"40.60635, -73.956439",34,11.64,0,11.17,999.54,10.97,0,Public Safety Issue,Low Pressure,Outage,Missed Pickup
2025-03-05 14:40:00,"40.698394, -73.710349",270,59.49,25.64,No,Active,100.29,377.39,63.74,24.13,"40.583378, -73.744269",38,8.21,4,14.15,2359.69,36.51,1,Public Safety Issue,Low Pressure,Voltage Fluctuation,Missed Pickup
2025-03-05 14:45:00,"40.792584, -73.847528",253,48.9,38.88,No,Inactive,14.17,525.71,37.08,3.65,"40.734602, -73.818568",39,12.81,1,6.55,4410.71,72.12,1,None,Disruption,Outage,Delayed
2025-03-05 14:50:00,"40.50577, -73.909804",240,12.84,83.95,No,Active,55.14,598.08,74.81,2.3,"40.862557, -73.760767",28,2.45,0,10.28,4229.97,77.15,20,Severe Weather,Low Pressure,Outage,On Schedule
2025-03-05 14:55:00,"40.888645, -73.711059",273,12.09,84.89,Yes,Inactive,86.42,364.96,57.57,1.05,"40.66379, -73.911235",40,4.78,4,14.11,4151.03,31.93,6,Traffic Accident,Normal,Stable,Delayed
2025-03-05 15:00:00,"40.562501, -73.969356",63,69.77,12.79,No,Inactive,44.4,331.97,67.22,17.21,"40.586244, -73.727548",93,9.53,2,6.64,3564.55,51.59,10,None,Low Pressure,Outage,Delayed
2025-03-05 15:05:00,"40.869444, -73.938542",220,79.24,0.95,No,Inactive,121.23,494.7,42.62,15.26,"40.748157, -73.813619",90,6.17,3,12.96,4481.71,58.07,0,None,Disruption,Voltage Fluctuation,Missed Pickup
2025-03-05 15:10:00,"40.615302, -73.840757",159,13.85,82.69,No,Active,129.95,497.92,55.52,14.86,"40.645589, -73.844412",61,2.11,4,8.09,2749.68,50.82,15,Traffic Accident,Disruption,Outage,Missed Pickup
2025-03-05 15:15:00,"40.527277, -73.895507",224,28.09,64.89,No,Active,65.88,509.18,41.94,19.91,"40.794717, -73.963733",29,5.53,0,3.11,4910.32,43.24,11,None,Disruption,Stable,On Schedule
2025-03-05 15:20:00,"40.818933, -73.94754",26,46.96,41.3,No,Active,125.5,544.19,38.91,20.4,"40.610588, -73.909004",15,7.15,0,7.95,2114.27,76.55,13,Severe Weather,Normal,Stable,Delayed
2025-03-05 15:25:00,"40.584597, -73.79841",245,74.64,6.7,No,Active,26.63,553.75,84.16,32.04,"40.646688, -73.925358",34,11.57,5,11.52,4878.12,24.94,1,Severe Weather,Normal,Stable,Delayed
2025-03-05 15:30:00,"40.677368, -73.98748",170,25.49,68.14,No,Inactive,19.39,407.6,61.06,31.67,"40.843633, -73.895415",21,8.95,2,7.02,2011.58,57.78,19,Public Safety Issue,Normal,Stable,Missed Pickup
2025-03-05 15:35:00,"40.608321, -73.854833",268,28.72,64.1,No,Inactive,36.72,526.13,74.03,34.81,"40.632214, -73.957176",12,5.52,4,9.76,4635.84,29.29,18,Traffic Accident,Normal,Stable,On Schedule
2025-03-05 15:40:00,"40.736923, -73.898221",73,79.3,0.88,No,Active,149.96,388.95,50.63,23.38,"40.679211, -73.782486",77,0.05,5,13.91,1687.86,73.69,19,None,Low Pressure,Voltage Fluctuation,Missed Pickup
2025-03-05 15:45:00,"40.781869, -73.986574",44,38.59,51.76,Yes,Active,66.53,557.74,62.9,6.94,"40.857618, -73.789373",83,0.52,3,10.4,4131.13,48.44,3,Public Safety Issue,Low Pressure,Voltage Fluctuation,Delayed
2025-03-05 15:50:00,"40.725548, -73.977361",182,74.46,6.93,No,Active,7.46,532.64,81.58,25.16,"40.587616, -73.883531",48,4.07,1,8.54,2161.65,17.06,8,Severe Weather,Normal,Stable,Missed Pickup
2025-03-05 15:55:00,"40.8391, -73.877723",26,75.16,6.05,No,Active,70.12,345.35,77.52,10.96,"40.662972, -73.917288",46,2.68,3,6.36,593.58,48.75,12,Traffic Accident,Low Pressure,Outage,Missed Pickup
2025-03-05 16:00:00,"40.542694, -73.994461",143,57.13,28.59,No,Inactive,124.86,537.44,40.42,25.66,"40.888095, -73.787957",58,5.57,2,3.98,1285.13,42.33,14,Public Safety Issue,Normal,Voltage Fluctuation,Delayed
2025-03-05 16:05:00,"40.689928, -73.915137",18,41.05,48.69,No,Active,75.99,513.71,47.25,13.98,"40.596334, -73.920201",99,9.13,4,3.1,3066.22,68.78,16,Traffic Accident,Low Pressure,Outage,Missed Pickup
2025-03-05 16:10:00,"40.546799, -73.992809",100,36.72,54.1,No,Active,19.17,446.33,81.83,18.84,"40.57304, -73.905132",62,7.12,1,12.71,2434.33,68.36,15,Public Safety Issue,Low Pressure,Voltage Fluctuation,On Schedule
2025-03-05 16:15:00,"40.796915, -73.888186",99,55.98,30.03,No,Active,58.27,342.49,72.97,6.31,"40.619825, -73.890613",61,4.34,1,5.81,2251.86,65.49,15,Severe Weather,Low Pressure,Stable,Delayed
